gsis_id,display_name,position,birth_date,pfr_id,espn_id
ALS622935,O'Brien Alston,OLB,1965-12-21,AlstOB20,
00-0021890,Richard Alston,WR,1980-11-20,AlstRi20,5345
00-0000251,Mike Alstott,FB,1973-12-21,AlstMi00,925
00-0039897,Joe Alt,OT,2003-02-28,AltxJo01,4683487
00-0000252,John Alt,OT,1962-05-30,AltxJo00,6925
ALT553722,Jim Althoff,DT,1961-09-27,AlthJi20,
00-0041453,Luke Altmyer,QB,2002-10-22,AltmLu00,4597679
00-0027862,Tyson Alualu,DE,1987-05-12,AluaTy99,13233
00-0036065,Auzoyah Alufohai,DT,1996-10-16,AlufAu00,3911982
ALV207645,Wilson Alvarez,K,1957-03-22,alvarwil01,
ALV415290,Steve Alvers,TE,1957-04-04,AlveSt20,
ALV622935,Steve Alvord,DT,1964-10-02,AlvoSt20,
ALW276861,Tom Alward,G,1952-10-13,AlwaTo20,
ALZ415291,Lyle Alzado,DE,1949-04-03,AlzaLy00,
00-0035142,Ugo Amadi,CB,1997-05-16,AmadUg00,3886834
